Наименование,Област,Община,Населено място,Адрес,Управител,Телефон
"ДИАЛИЗЕН ЦЕНТЪР ЕЛ МАСРИ ООД",Бургас,БУРГАС,ГР.БУРГАС,ж.к. Лазур бл. 158,Д-Р РУМЯНА МАРИНОВА БАХЧЕВАНОВА,"056/812985,0887/903787"
"ДКЦ-2-Добрич ЕООД",Добрич,КАВАРНА,ГР.КАВАРНА,ул. Васил Левски №36,"Д-Р ВАЛЕРИ ТОДОРОВ, СИЛВИЯ ДЕМИРЕВА-ТРИФОНОВА","602-257,600-854"
"ДКЦ-2-Добрич ЕООД",Добрич,БАЛЧИК,ГР.БАЛЧИК,ул. Д-р Златко Петков №1,"Д-Р ВАЛЕРИ ТОДОРОВ, СИЛВИЯ ДЕМИРЕВА-ТРИФОНОВА","602-257,600-854"
"ДКЦ-2-Добрич ЕООД",Добрич,БАЛЧИК,С.ОБРОЧИЩЕ К.К.АЛБЕНА,к.к. Албена МЦ Медика-Албена,"Д-Р ВАЛЕРИ ТОДОРОВ, СИЛВИЯ ДЕМИРЕВА-ТРИФОНОВА","602-257,600-854"
"ДКЦ-2-Добрич ЕООД",Добрич,ДОБРИЧ-ГРАД,ГР.ДОБРИЧ,бул. 25-ти септември 68,"Д-Р ВАЛЕРИ ТОДОРОВ, СИЛВИЯ ДЕМИРЕВА-ТРИФОНОВА","602-257,600-854"
"ДКЦ-I-Добрич ЕООД",Добрич,ДОБРИЧ-ГРАД,ГР.ДОБРИЧ,ул. Димитър Петков №3,"Д-Р БИСЕРКА ПАЧОЛОВА-ЦЕНОВА, ВЕЛИНА КОМАРЕВА-ИВАНОВА, МАРИЯН АНАНИЕВ, ДИАНА АРАБАДЖИЕВА-ДИМИТРОВА","601-474,0878711458,601-610,601-474,602-776"
"Диализен Център Диалхелп ЕООД",Добрич,ДОБРИЧ-ГРАД,ГР.ДОБРИЧ,25-ти Септември 68,Д-Р ЕЛКА МИЛАНОВА ТОДОРОВА-КОЗАРОВА,"058/600-117"
"Диализен център Руриком ООД",Русе,РУСЕ,ГР.РУСЕ,ул. Славянска 2А ет.2,ИЛКО ЙОРДАНОВ МАРИНОВ,"0898484505,0878984505"
"КОМПЛЕКСЕН ОНКОЛОГИЧЕН ЦЕНТЪР БУРГАС ЕООД",Бургас,БУРГАС,ГР.БУРГАС,бул. Демокрация №86 и ул. Ст.Стамболов №73,"ПРОФ. Д-Р ХРИСТО БОЗОВ, РАДОСТИН ДИЧЕВ, ХРИСТО ДЕЧЕВ","056/86-64-02,0879/396613,0893/336753,056/86-64-02"
"МБАЛ Проф. д-р Александър Герчев Етрополе ЕООД",София - област,ЕТРОПОЛЕ,ГР.ЕТРОПОЛЕ,ул. Бригадирска № 1,"Д-Р ГАЛЯ ВАСИЛЕВА, Д-Р ГЕОРГИ КАНЗОВ, Д-Р СНЕЖАНКА ДОСЕВА-ТОДОРОВА, Д-Р ЦЕНО ГЛОГОВ","0879605651,072063685"
