Наименование,Област,Община,Населено място,Адрес,Управител,Телефон,lat,lng,provider,display_name,quality_score
ДКЦ-2-Добрич ЕООД,Добрич,КАВАРНА,Каварна,ул. Васил Левски 36,"Д-Р ВАЛЕРИ ВЕСЕЛИНОВ ТОДОРОВ, СИЛВИЯ ГЕОРГИЕВА ДЕМИРЕВА-ТРИФОНОВА","602-257,600-854",43.4249221,28.3394057,nominatim_free,"МБАЛ Каварна, 36, Васил Левски, Каварна, Добрич, 9650, България",100
ДКЦ-2-Добрич ЕООД,Добрич,БАЛЧИК,Балчик,ул. д-р Златко Петков 1,"Д-Р ВАЛЕРИ ВЕСЕЛИНОВ ТОДОРОВ, СИЛВИЯ ГЕОРГИЕВА ДЕМИРЕВА-ТРИФОНОВА","602-257,600-854",43.4096568,28.163484,nominatim_free,"Д-р Златко Петков, Хоризонт, Балчик, Добрич, 9601, България",95
ДКЦ-2-Добрич ЕООД,Добрич,ДОБРИЧ-ГРАД,Добрич,бул. 25-ти септември 68,"Д-Р ВАЛЕРИ ВЕСЕЛИНОВ ТОДОРОВ, СИЛВИЯ ГЕОРГИЕВА ДЕМИРЕВА-ТРИФОНОВА, АНЕЛИЯ ГЕОРГИЕВА КОЛАРОВА-КИСЬОВА","602-257,600-854",43.5776089,27.8287398,nominatim_free,"2 ДКЦ, 68, бул. 25-ти Септември, ж.к. Север 1, Добрич, 9300, България",80
ДКЦ-I-Добрич ЕООД,Добрич,ДОБРИЧ-ГРАД,Добрич,ул. Димитър Петков 3,"Д-Р БИСЕРКА АТАНАСОВА ПАЧОЛОВА-ЦЕНОВА, ВЕЛИНА ГЕОРГИЕВА КОМАРЕВА-ИВАНОВА, МАРИЯН ИВАНОВ АНАНИЕВ, ДИАНА ПЕТРОВА АРАБАДЖИЕВА-ДИМИТРОВА","601-474,0878711458,601-610,602-776",43.5708393,27.8317868,nominatim_free,"Димитър Петков, ЦГЧ, Добрич, 9300, България",95
МБАЛ - Ботевград ЕООД,София - област,БОТЕВГРАД,Ботевград,ул. Божко Божилов 1,"Д-Р ДИЛЯН ДОБРЕВ ТОМОВСКИ, МАРГАРИТА ТОДОРОВА СТОЕВА, Д-Р ФИЛИП ПЕТРОВ ФИЛЕВ, Д-Р КРАСИМИР ПАВЛОВ КУШЕВ, ПЛАМЕН КИРИЛОВ КИТАНОВ, ИВАН ДИМИТРОВ БАГЕЛЕЙСКИ, ОРЛИН ВЕСЕЛИНОВ ЦВЕТКОВ","072369400,072369401",42.9079346,23.8013184,nominatim_free,"МБАЛ, 1, Божко Божилов, ж.к. Васил Левски, Ботевград, Софийска, 2140, България",100
МБАЛ - Пирдоп АД,София - област,ПИРДОП,Пирдоп,ул. Георги Бенковски 24,"Д-Р ЮЛИЯ ДИМИТРОВА ИЛИЕВА, СОФИ ВЛАДИМИРОВ ДИНЧЕВ, СВЕТОСЛАВ ГЕОРГИЕВ ЧЕРВЕНКОВ, Д-Р ИВАН ВАСИЛЕВ ДИНЕВ, ЛЮБОМИР КОНСТАНТИНОВ ВАСЕВ, ИРИНА РАШКОВА ПАВЛОВА, Г-ЖА ТАТЯНА СПАСОВА КОНЯРСКА, Д-Р ДЕСИСЛАВА ДИМИТРОВА ТОЛИНОВА, ДАНИЕЛА ПЕТРОВА МИРКОВСКА, Д-Р МАРГАРИТА ИВАНОВА ГЕТОВА","0878632701,0886610805,0878632715,07181/5631,0878632731,0878632768",42.7017651,24.1691711,nominatim_free,"МБАЛ Пирдоп, 24, Георги Бенковски, Пирдоп, Софийска, 2070, България",100
МБАЛ - Самоков ЕООД,София - област,САМОКОВ,Самоков,ул. Македония 49,"Д-Р КРАСИМИРА АРАНГЕЛОВА КОВАЧКА, Д-Р СВЕТЛА КИРИЛОВА СКЕЛИНА","072266413,072289266",42.3360306,23.552102,nominatim_free,"МБАЛ Самоков, 49, Македония, Самоков, Софийска, 2000, България",90
МБАЛ - Скин Системс ООД,София - област,ПИРДОП,Пирдоп,ул. Георги Бенковски 24,"Д-Р СПАРТАК СТОЯНОВ МИЛЕВ, Д-Р КАТРИН КОСТАДИНОВА КРАХТОВА-НАСТЕВА","0888707040,0895125771",42.7017651,24.1691711,nominatim_free,"МБАЛ Пирдоп, 24, Георги Бенковски, Пирдоп, Софийска, 2070, България",100
МБАЛ - Скин Системс ООД,София - област,ЕЛИН ПЕЛИН,Елин Пелин,ул. Здравец 15,"Д-Р СПАРТАК СТОЯНОВ МИЛЕВ, Д-Р КАТРИН КОСТАДИНOVA КРАХТОВА-НАСТЕВА","0888707040,0895125771",42.66407,23.6006812,nominatim_free,"МБАЛ Елин Пелин, 15, улица Здравец, Елин Пелин, Софийска, 2100, България",90
МБАЛ-Елин Пелин ЕООД,София - област,ЕЛИН ПЕЛИН,Елин Пелин,ул. Здравец 15,"Д-Р МАЯ МЕТОДИЕВА МИКОВА-ЛУКАНОВА, МАРИЯНА АТАНАСОВА МАНОЛОВА","072560152,0887334797",42.66407,23.6006812,nominatim_free,"МБАЛ Елин Пелин, 15, улица Здравец, Елин Пелин, Софийска, 2100, България",90
МБАЛ-Каварна ЕООД,Добрич,КАВАРНА,Каварна,ул. Васил Левски 36,"ЦВЕТАНКА ИЛИЕВА ДИМИТРОВА, ГЕОРГИ ИВАНОВ ДОНЕВ, ЖИВКО ИВАНОВ ЖЕКОВ, ДЕСИСЛАВ ПЕТРОВ ТАСКОВ, ХАМЗА ВЕЛИЕВ АЛИЕВ, Д-Р ХРИСТИЯН ПЕТРОВ ЗАФИРОВ","0570/83161,0887/991099",43.4249221,28.3394057,nominatim_free,"МБАЛ Каварна, 36, Васил Левски, Каварна, Добрич, 9650, България",100
