Наименование,Област,Община,Населено място,Адрес,Управител,Телефон,original_address,original_city,street_number,street_name_clean,search_query,lat,lng,provider,display_name,quality_score
ДИАЛИЗЕН ЦЕНТЪР ЕЛ МАСРИ ООД,Бургас,БУРГАС,Бургас,жк Лазур 158,Д-Р РУМЯНА МАРИНОВА БАХЧЕВАНОВА,"056/812985,0887/903787",жк Лазур 158,Бургас,158,Лазур,"жк Лазур 158, Бургас, България",42.5107402,27.47515,nominatim_free,"ЖК Лазур 105Б, Квартира в аренду, 105Б, 24-ти черноморски пехотен полк, ж.к. Лазур, Бургас, 8001, България",50
ДКЦ-2-Добрич ЕООД,Добрич,БАЛЧИК,Албена,Албена,"Д-Р ВАЛЕРИ ВЕСЕЛИНОВ ТОДОРОВ, СИЛВИЯ ГЕОРГИЕВА ДЕМИРЕВА-ТРИФОНОВА","602-257,600-854",Албена,Албена,,Албена,"Албена, Албена, България",43.3732779,28.0881304,nominatim_free,"Албена, Дамбата, Албена, Оброчище, Балчик, Добрич, 9343, България",45
Диализен Център Диалхелп ЕООД,Добрич,ДОБРИЧ-ГРАД,Добрич,25-ти Септември 68,Д-Р ЕЛКА МИЛАНОВА ТОДОРОВА-КОЗАРОВА,058/600-117,25-ти Септември 68,Добрич,68,25-ти Септември,"25-ти Септември 68, Добрич, България",43.4271666,28.3382045,nominatim_free,"25-ти септември, Каварна, Добрич, 9650, България",55
КОМПЛЕКСЕН ОНКОЛОГИЧЕН ЦЕНТЪР БУРГАС ЕООД,Бургас,БУРГАС,Бургас,бул. Демокрация 86,"ПРОФ. Д-Р ХРИСТО СТОЯНОВ БОЗОВ, РАДОСТИН ЗАХАРИЕВ ДИЧЕВ, ХРИСТО ДЕЧЕВ ДЕЧЕВ","056/86-64-02,0879/396613,0893/336753",бул. Демокрация 86,Бургас,86,Демокрация,"бул. Демокрация 86, Бургас, България",42.5092256,27.468969,nominatim_free,"бул. Демокрация, ж.к. Братя Миладинови, Бургас, 8001, България",45
КОМПЛЕКСЕН ОНКОЛОГИЧЕН ЦЕНТЪР БУРГАС ЕООД,Бургас,БУРГАС,Бургас,ул. Стефан Стамболов 73,"ПРОФ. Д-Р ХРИСТО СТОЯНОВ БОЗОВ, РАДОСТИН ЗАХАРИЕВ ДИЧЕВ, ХРИСТО ДЕЧЕВ ДЕЧЕВ","056/86-64-02,0879/396613,0893/336753",ул. Стефан Стамболов 73,Бургас,73,Стефан Стамболов,"ул. Стефан Стамболов 73, Бургас, България",42.5379963,27.4428072,nominatim_free,"Стефан Стамболов, кв. Хоризонт, Бургас, 8010, България",55
КОМПЛЕКСЕН ОНКОЛОГИЧЕН ЦЕНТЪР БУРГАС ЕООД,Бургас,БУРГАС,Бургас,ул. Доц. д-р Константин Кънчев,"ПРОФ. Д-Р ХРИСТО СТОЯНОВ БОЗОВ, РАДОСТИН ЗАХАРИЕВ ДИЧЕВ, ХРИСТО ДЕЧЕВ ДЕЧЕВ","056/86-64-02,0879/396613,0893/336753",ул. Доц. д-р Константин Кънчев,Бургас,,Доц. д-р Константин Кънчев,"ул. Доц. д-р Константин Кънчев, Бургас, България",42.5135674,27.4659001,overpass,УМБАЛ Бургас,50
МБАЛ Авис Медика ООД,Плевен,ПЛЕВЕН,Плевен,ул. Коста Хаджипакев 7,"АЛЕКСАНДЪР ВЛАДИМИРОВ АНДРЕЕВ, ИРЕН ВЛАДИМИРОВА БАРКЛИ ПАЗ, ВЛАДИМИР ВАСИЛЕВ АНДРЕЕВ","064/909093,0889/231056,064909097,064909092",ул. Коста Хаджипакев 7,Плевен,7,Коста Хаджипакев,"ул. Коста Хаджипакев 7, Плевен, България",43.4115425,24.617025,nominatim_free,"Коста Хаджипакев, 9-ти квартал, Централна градска част, Плевен, 5801, България",55
МБАЛ Авис Медика ООД,Плевен,ПЛЕВЕН,Плевен,парк Кайлъка,"АЛЕКСАНДЪР ВЛАДИМИРОВ АНДРЕЕВ, ИРЕН ВЛАДИМИРОВА БАРКЛИ ПАЗ, ВЛАДИМИР ВАСИЛЕВ АНДРЕЕВ","064/909093,0889/231056,064909097,064909092",парк Кайлъка,Плевен,,парк Кайлъка,"парк Кайлъка, Плевен, България",43.3764539,24.6213913,nominatim_free,"Парк Хотел Кайлъка, 35, Кайлъка, Плевен, 5800, България",55
МБАЛ-Д-р Георги Стоев-Шварц-Троян-ЕООД,Ловеч,ТРОЯН,Троян,ул. Радецки 30,"ПЕНКО СТАЙКОВ БАМБОВ, ТЕОДОРА ПЕТРОВА ВЪЛКОВСКА-КЮРЕКЧИЕВА","0670/62019,067062019,0888695372",ул. Радецки 30,Троян,30,Радецки,"ул. Радецки 30, Троян, България",42.8927144,24.7016295,nominatim_free,"Радецки, ж.к. Буковец, Троян, Ловеч, 5600, България",45
МБАЛ-Ихтиман-Д-р Станю Янков ЕООД,София - област,ИХТИМАН,Ихтиман,ул. Шипка 30,"Д-Р ИВКА ИВАНОВА ГЕОРГИЕВА, Д-Р ПЕТЬО ДИМИТРОВ ГЕРГАНОВ, Д-Р ИВАН ЖЕКОВ ИВАНОВ",072482164,ул. Шипка 30,Ихтиман,30,Шипка,"ул. Шипка 30, Ихтиман, България",42.5610562,23.7047575,nominatim_free,"Шипка, Вакарел, Ихтиман, Софийска, 2060, България",45
