Наименование,Област,Община,Населено място,Адрес,Управител,Телефон,original_address,original_city,street_number,street_name_clean,search_query,lat,lng,provider,display_name,quality_score
МБАЛ Проф. д-р Александър Герчев Етрополе ЕООД,София - област,ЕТРОПОЛЕ,Етрополе,ул. Бригадирска 1,"Д-Р ГАЛЯ ИЛИЕВА ВАСИЛЕВА, Д-Р ГЕОРГИ КРЪСТЕВ КАНЗОВ, Д-Р СНЕЖАНКА ВАСИЛЕВА ДОСЕВА-ТОДОРОВА, Д-Р ЦЕНО ПАВЛОВ ГЛОГОВ","0879605651,072063685",ул. Бригадирска 1,Етрополе,1,Бригадирска,"ул. Бригадирска 1, Етрополе, България",,,,,0
МБАЛ - Скин Системс ООД,София - област,ЕЛИН ПЕЛИН,Доганово,ул. Първа 32,"Д-Р СПАРТАК СТОЯНОВ МИЛЕВ, Д-Р КАТРИН КОСТАДИНОВА КРАХТОВА-НАСТЕВА","0888707040,0895125771",ул. Първа 32,Доганово,32,Първа,"ул. Първа 32, Доганово, България",,,,,0
МБАЛ Авис Медика ООД,Плевен,ПЛЕВЕН,Тученица,ул. Георги Бенковски 19,"АЛЕКСАНДЪР ВЛАДИМИРОВ АНДРЕЕВ, ИРЕН ВЛАДИМИРОВА БАРКЛИ ПАЗ, ВЛАДИМИР ВАСИЛЕВ АНДРЕЕВ","064/909093,0889/231056,064909097,064909092",ул. Георги Бенковски 19,Тученица,19,Георги Бенковски,"ул. Георги Бенковски 19, Тученица, България",,,,,0
МБАЛ-ПОПОВО ЕООД,Търговище,ПОПОВО,Попово,ГР.ПОПОВО център,"ЙОВЧО ЯНКОВ ЯКОВ, ИВАН ПЕТКОВ ДИМИТРОВ, ИВАН НИКОЛОВ ГУЩАНОВ, ЯНКА АНДРЕЕВА ИВАНОВА, РУМЕН СТОЙЧЕВ РУСЕВ","0608/42401,0608/43912,0608/43574",ГР.ПОПОВО център,Попово,,ГР.ПОПОВО център,"ГР.ПОПОВО център, Попово, България",,,,,0
МБАЛ-ТЪРГОВИЩЕ АД,Търговище,ТЪРГОВИЩЕ,Търговище,ГР.ТЪРГОВИЩЕ център,ИВАН ВАСИЛЕВ СВЕТУЛКОВ,"0601/68888,0601/64864",ГР.ТЪРГОВИЩЕ център,Търговище,,ГР.ТЪРГОВИЩЕ център,"ГР.ТЪРГОВИЩЕ център, Търговище, България",,,,,0
МЕДИКО - ДЕНТАЛЕН ЦЕНТЪР ТРИО ЕООД,Враца,ВРАЦА,Враца,ул. Генерал Леонов 95,ВАЛЕНТИН МАРИНОВ НАЙДЕНОВ,0882934002,ул. Генерал Леонов 95,Враца,95,Генерал Леонов,"ул. Генерал Леонов 95, Враца, България",,,,,0
МЕДИЦИНСКИ ЦЕНТЪР ЗА СПЕЦИАЛИЗИРАНА МЕДИЦИНСКА ПОМОЩ - ВИЗУС ООД,Велико Търново,ГОРНА ОРЯХОВИЦА,Горна Оряховица,ул. Отец Пайсий 72,"СОФИЯ ЦЕЦКОВА ЦВЕТАНОВА-ДИМИТРОВА, ПЕТЯ ИВАНОВА ЦВЕТАНОВА, ПЕТЯ ЦВЕТАНОВА",061864053,ул. Отец Пайсий 72,Горна Оряховица,72,Отец Пайсий,"ул. Отец Пайсий 72, Горна Оряховица, България",,,,,0
Многопрофилна болница за активно лечение - Балчик ЕООД,Добрич,БАЛЧИК,Балчик,ул. д-р Зл. Петков 1,"Д-Р ПЛАМЕН ПЕТРОВ ДИМИТРОВ, ПАРСЕК САРКИС САЛБАШЯН, КРАСИМИР НИКОЛОВ КРЪЧМАРОВ, ИВО ХРИСТОВ ВОЙЧЕВ","0579/72238,0579/72018",ул. д-р Зл. Петков 1,Балчик,1,д-р Зл. Петков,"ул. д-р Зл. Петков 1, Балчик, България",,,,,0
СБПФЗПЛР-Цар Фердинанд І ЕООД,София - област,СВОГЕ,Искрец,кв. Санаториума,"Д-Р МАРИЯНА ХРИСТОВА ДЕНЕВА, ЛЮДМИЛА ЙОВЧЕВА ТОДОРОВА","071632001,071632002,0889151884",кв. Санаториума,Искрец,,кв. Санаториума,"кв. Санаториума, Искрец, България",,,,,0
СБР-НК ЕАД филиал Момин проход,София - област,КОСТЕНЕЦ,Момин Проход,ул. Христо Ботев 6,"Д-Р ПЛАМЕН ПЕТРОВ СТОЕВ, ЕВГЕНИ ГЕОРГИЕВ ЛЮБЕНОВ, НОНКА ДОБРИНОВА ОБРЕШКОВА, СПАСКА СТОЯНОВА БАХЧЕВАНОВА, АНИ БЛАГОЕВА ЗДРАВКОВА","0879220029,0878217400",ул. Христо Ботев 6,Момин Проход,6,Христо Ботев,"ул. Христо Ботев 6, Момин Проход, България",,,,,0
