Наименование,Област,Община,Населено място,Адрес,Управител,Телефон,lat,lng,provider,display_name,quality_score
ДИАЛИЗЕН ЦЕНТЪР ЕЛ МАСРИ ООД,Бургас,БУРГАС,Бургас,жк Лазур 158,Д-Р РУМЯНА МАРИНОВА БАХЧЕВАНОВА,"056/812985,0887/903787",42.5107402,27.47515,nominatim_free,"ЖК Лазур 105Б, Квартира в аренду, 105Б, 24-ти черноморски пехотен полк, ж.к. Лазур, Бургас, 8001, България",50
ДКЦ-2-Добрич ЕООД,Добрич,КАВАРНА,Каварна,ул. Васил Левски 36,"Д-Р ВАЛЕРИ ВЕСЕЛИНОВ ТОДОРОВ, СИЛВИЯ ГЕОРГИЕВА ДЕМИРЕВА-ТРИФОНОВА","602-257,600-854",43.4249221,28.3394057,nominatim_free,"МБАЛ Каварна, 36, Васил Левски, Каварна, Добрич, 9650, България",100
ДКЦ-2-Добрич ЕООД,Добрич,БАЛЧИК,Балчик,ул. д-р Златко Петков 1,"Д-Р ВАЛЕРИ ВЕСЕЛИНОВ ТОДОРОВ, СИЛВИЯ ГЕОРГИЕВА ДЕМИРЕВА-ТРИФОНОВА","602-257,600-854",43.4096568,28.163484,nominatim_free,"Д-р Златко Петков, Хоризонт, Балчик, Добрич, 9601, България",95
ДКЦ-2-Добрич ЕООД,Добрич,БАЛЧИК,Албена,Албена,"Д-Р ВАЛЕРИ ВЕСЕЛИНОВ ТОДОРОВ, СИЛВИЯ ГЕОРГИЕВА ДЕМИРЕВА-ТРИФОНОВА","602-257,600-854",43.3732779,28.0881304,nominatim_free,"Албена, Дамбата, Албена, Оброчище, Балчик, Добрич, 9343, България",45
ДКЦ-2-Добрич ЕООД,Добрич,ДОБРИЧ-ГРАД,Добрич,бул. 25-ти септември 68,"Д-Р ВАЛЕРИ ВЕСЕЛИНОВ ТОДОРОВ, СИЛВИЯ ГЕОРГИЕВА ДЕМИРЕВА-ТРИФОНОВА, АНЕЛИЯ ГЕОРГИЕВА КОЛАРОВА-КИСЬОВА","602-257,600-854",43.5776089,27.8287398,nominatim_free,"2 ДКЦ, 68, бул. 25-ти Септември, ж.к. Север 1, Добрич, 9300, България",80
ДКЦ-I-Добрич ЕООД,Добрич,ДОБРИЧ-ГРАД,Добрич,ул. Димитър Петков 3,"Д-Р БИСЕРКА АТАНАСОВА ПАЧОЛОВА-ЦЕНОВА, ВЕЛИНА ГЕОРГИЕВА КОМАРЕВА-ИВАНОВА, МАРИЯН ИВАНОВ АНАНИЕВ, ДИАНА ПЕТРОВА АРАБАДЖИЕВА-ДИМИТРОВА","601-474,0878711458,601-610,602-776",43.5708393,27.8317868,nominatim_free,"Димитър Петков, ЦГЧ, Добрич, 9300, България",95
Диализен Център Диалхелп ЕООД,Добрич,ДОБРИЧ-ГРАД,Добрич,25-ти Септември 68,Д-Р ЕЛКА МИЛАНОВА ТОДОРОВА-КОЗАРОВА,058/600-117,43.4271666,28.3382045,nominatim_free,"25-ти септември, Каварна, Добрич, 9650, България",55
Диализен център Руриком ООД,Русе,РУСЕ,Русе,ул. Славянска 2А,ИЛКО ЙОРДАНОВ МАРИНОВ,"0898484505,0878984505",43.9141699,26.0729677,nominatim_free,"Славянска 2-ра, Мартен, Русе, 7058, България",65
КОМПЛЕКСЕН ОНКОЛОГИЧЕН ЦЕНТЪР БУРГАС ЕООД,Бургас,БУРГАС,Бургас,бул. Демокрация 86,"ПРОФ. Д-Р ХРИСТО СТОЯНОВ БОЗОВ, РАДОСТИН ЗАХАРИЕВ ДИЧЕВ, ХРИСТО ДЕЧЕВ ДЕЧЕВ","056/86-64-02,0879/396613,0893/336753",42.5092256,27.468969,nominatim_free,"бул. Демокрация, ж.к. Братя Миладинови, Бургас, 8001, България",45
КОМПЛЕКСЕН ОНКОЛОГИЧЕН ЦЕНТЪР БУРГАС ЕООД,Бургас,БУРГАС,Бургас,ул. Стефан Стамболов 73,"ПРОФ. Д-Р ХРИСТО СТОЯНОВ БОЗОВ, РАДОСТИН ЗАХАРИЕВ ДИЧЕВ, ХРИСТО ДЕЧЕВ ДЕЧЕВ","056/86-64-02,0879/396613,0893/336753",42.5379963,27.4428072,nominatim_free,"Стефан Стамболов, кв. Хоризонт, Бургас, 8010, България",55
